index,Disease,Disease Code,State,Year,Gender,Age,Age Code,STD Cases,Population,Rate per 100K
0,Chlamydia,274.0,Alabama,1996.0,Male,0-14 years,0-14,25.0,468394.0,5.34
1,Chlamydia,274.0,Alabama,1996.0,Male,15-19 years,15-19,164.0,165920.0,98.84
2,Chlamydia,274.0,Alabama,1996.0,Male,20-24 years,20-24,193.0,152848.0,126.27
3,Chlamydia,274.0,Alabama,1996.0,Male,25-29 years,25-29,88.0,152778.0,57.6
4,Chlamydia,274.0,Alabama,1996.0,Male,30-34 years,30-34,55.0,155850.0,35.29
5,Chlamydia,274.0,Alabama,1996.0,Male,35-39 years,35-39,30.0,168841.0,17.77
6,Chlamydia,274.0,Alabama,1996.0,Male,40+ years,40+,44.0,819248.0,5.37
7,Chlamydia,274.0,Alabama,1996.0,Male,Unknown,99,63.0,,
8,Chlamydia,274.0,Alabama,1997.0,Male,0-14 years,0-14,27.0,473016.0,5.71
9,Chlamydia,274.0,Alabama,1997.0,Male,15-19 years,15-19,230.0,167083.0,137.66
10,Chlamydia,274.0,Alabama,1997.0,Male,20-24 years,20-24,185.0,150783.0,122.69
11,Chlamydia,274.0,Alabama,1997.0,Male,25-29 years,25-29,109.0,154166.0,70.7
12,Chlamydia,274.0,Alabama,1997.0,Male,30-34 years,30-34,50.0,151932.0,32.91
13,Chlamydia,274.0,Alabama,1997.0,Male,35-39 years,35-39,41.0,168350.0,24.35
14,Chlamydia,274.0,Alabama,1997.0,Male,40+ years,40+,66.0,837795.0,7.88
15,Chlamydia,274.0,Alabama,1998.0,Male,0-14 years,0-14,38.0,472365.0,8.04
16,Chlamydia,274.0,Alabama,1998.0,Male,15-19 years,15-19,267.0,167374.0,159.52
17,Chlamydia,274.0,Alabama,1998.0,Male,20-24 years,20-24,236.0,151228.0,156.06
18,Chlamydia,274.0,Alabama,1998.0,Male,25-29 years,25-29,133.0,154387.0,86.15
19,Chlamydia,274.0,Alabama,1998.0,Male,30-34 years,30-34,76.0,149654.0,50.78
20,Chlamydia,274.0,Alabama,1998.0,Male,35-39 years,35-39,38.0,168795.0,22.51
21,Chlamydia,274.0,Alabama,1998.0,Male,40+ years,40+,56.0,859032.0,6.52
22,Chlamydia,274.0,Alabama,1999.0,Male,0-14 years,0-14,30.0,475482.0,6.31
23,Chlamydia,274.0,Alabama,1999.0,Male,15-19 years,15-19,250.0,166099.0,150.51
24,Chlamydia,274.0,Alabama,1999.0,Male,20-24 years,20-24,200.0,151548.0,131.97
25,Chlamydia,274.0,Alabama,1999.0,Male,25-29 years,25-29,125.0,151877.0,82.3
26,Chlamydia,274.0,Alabama,1999.0,Male,30-34 years,30-34,66.0,148196.0,44.54
27,Chlamydia,274.0,Alabama,1999.0,Male,35-39 years,35-39,41.0,167921.0,24.42
28,Chlamydia,274.0,Alabama,1999.0,Male,40+ years,40+,58.0,875759.0,6.62
29,Chlamydia,274.0,Alabama,1999.0,Male,Unknown,99,25.0,,
30,Chlamydia,274.0,Alabama,2000.0,Male,0-14 years,0-14,20.0,471642.0,4.24
31,Chlamydia,274.0,Alabama,2000.0,Male,15-19 years,15-19,375.0,163376.0,229.53
32,Chlamydia,274.0,Alabama,2000.0,Male,20-24 years,20-24,493.0,153879.0,320.38
33,Chlamydia,274.0,Alabama,2000.0,Male,25-29 years,25-29,253.0,148829.0,169.99
34,Chlamydia,274.0,Alabama,2000.0,Male,30-34 years,30-34,121.0,149723.0,80.82
35,Chlamydia,274.0,Alabama,2000.0,Male,35-39 years,35-39,67.0,166434.0,40.26
36,Chlamydia,274.0,Alabama,2000.0,Male,40+ years,40+,75.0,895009.0,8.38
37,Chlamydia,274.0,Alabama,2000.0,Male,Unknown,99,28.0,,
38,Chlamydia,274.0,Alabama,2001.0,Male,0-14 years,0-14,27.0,472551.0,5.71
39,Chlamydia,274.0,Alabama,2001.0,Male,15-19 years,15-19,271.0,162233.0,167.04
40,Chlamydia,274.0,Alabama,2001.0,Male,20-24 years,20-24,391.0,157814.0,247.76
41,Chlamydia,274.0,Alabama,2001.0,Male,25-29 years,25-29,199.0,145674.0,136.61
